treatment_id	n_terms_above_5
taxon_de43c6f72bfd5c340b34bf6b78becd2f51a5dfe867ed2d460107c231395628fc	174
taxon_f040093bcfc4d909de7f841119a7f2de1925231ef1bb7e9a4784c2bd75986c73	174
taxon_1c931cb10bb20276d00d4eb1ffc3f96081b18b771df592e30cf91605d1419d4b	173
taxon_76b21e2c4651cbb9066f28d04e22195b29f89679612917d7c8a35d41054a2f31	173
taxon_cd7592fb6455daa38b408a0fe2bbcb5b25795e8094f8522f51300f886730eb6a	173
taxon_efd29d1ec1826ef295e6e2a99128d5d8344fa26bf525f52dbd20e2f4e295bb03	173
taxon_3f8fc270bbf02a506cb31b02d3392ee00d490010d2a59a957ad6cc405681399e	172
taxon_8adf8149590b476f0f6f5cd849292d457715f73cb55705a010d2443d3227c1a0	172
taxon_6e88742786ab401ae8042b68737d5bf43509559682863349b58530af09823d10	171
taxon_c361f05302babe41f1b28768a0520ce509adffc2b18df80054f83db2caa37124	171
taxon_e4f13e359980263febda297b2d9c3ecbf73753a48f637ec41bcdbc2978e5db26	171
taxon_0bfbdac3e44f334ca8a23789cb191063727d5f01dd03cd11c9ea90dc7f972ff6	170
taxon_3550e45eba62a069d403b89148eba1ddf6fd271a6e2c3c76fff30f8f0fdc8e5b	169
taxon_5c432f2aa2c51812079da18ca5e619d4a8c46e4e733df3c04c5a1fba24a85669	169
taxon_6d63892a3511b6e34e985eccfa4fb1ad51ef1707940c46b8a4f748e4ba02df1c	168
taxon_d01b03b0bc599d6487ca61c276ad5d258de953d42a94a05c4600df21d5d4513a	168
taxon_e5e9faf98a36ed850c14bd1c5835f8ce2622aa9701bc0386bee9373c1ea5e31f	168
taxon_43c8027843bad2e7f10f0b0de11008b9548798ff3c8cbfada978d04ae193167e	166
taxon_c94a5f9b1d83cb2d1b747d2c8c51c0f091a14ecdd5dc4153ddc90007243fb083	166
taxon_165c1ef1ec7837d923f398818359d9bfad564842d4f750b72cb2bf3c2179d661	165
taxon_350c7967434d756f35d884f2ebf5ac08469ad6a0f84c65a851889323e2093a24	165
taxon_4d005af60ce25488c1d22e13ef4a397649ef249b3315b39e81273c4f1cfac5ee	165
taxon_a05330a2f2bbc0cad7276409b5ff649e48ddf1edf9a78e892738b6659066b547	165
taxon_c4d4016eadaa318b54a6ee3dee50ae631412d320d7d913e7b5b60715843c6ade	165
taxon_d5fa6fe57f9f48d6932aec3d2d2f37d448c5cb0f9111c8d77eed468c83984ffd	165
taxon_4b8f78679de5d9f83182180a83f98c96830df77747753cd6117ad69a342a6986	164
