Headword,DEFINITION,Part of Speech,SEMANTIC GROUP,FREQUENCY RANK,Transliterated,Latinized
ὁ ἡ τό,the,definite article,Pronouns/Interrogatives,1,ho he to,ho he to
αὐτός αὐτή αὐτό,"him- her- itself etc. (for emphasis); the same (with article); (pron.) him, her, it etc. (in oblique cases)",adjective: 1st and 2nd declension,Pronouns/Interrogatives,2,autos aute auto,autus aute auto
καί,"and, also, even; καί...καί both...and",conjunction: coordinating,Conjunctions/Adverbs,3,cae,cae
δέ,and; but,conjunction: coordinating,Particles,4,de,de
τίς τί,who? what? which? (interrog. pron./adj.),pronoun,Pronouns/Interrogatives,5,tis ti,tis ti
"εἰμί, ἔσομαι, impf. ἦν, infin. εἶναι","be, exist",verb: irregular,Humanity and Being,6,"imi, esomae, impf. en, infin. inae","imi, esomae, impf. en, infin. inae"
οὗτος αὕτη τοῦτο,"this, these; μετὰ ταῦτα after this",pronoun,Pronouns/Interrogatives,7,hutos haute tuto,hutus haute tuto
ἤ,or; than (after a comparative); ἤ...ἤ either...or,conjunction: coordinating,Conjunctions/Adverbs,8,e,e
ἐν,"in, among (+dat.)",preposition,Direction,9,en,en
μέν...δέ,on the one hand...on the other hand (often untranslated); μέν (by itself) indeed,conjunction: coordinating,Particles,10,men...de,men...de
τις τι,"someone, something, anyone, anything, some, any (enclitic indef. pron./adj.)",pronoun,Pronouns/Interrogatives,11,tis ti,tis ti
ὅς ἥ ὅ,"who, which, that",pronoun,Pronouns/Interrogatives,12,hos he ho,hus he ho
γάρ,"for (explanatory), indeed, in fact (confirming)",conjunction: coordinating,Conjunctions/Adverbs,13,gar,gar
"οὐ, οὐκ, οὐχ",not (with indicative verbs),adverb,Conjunctions/Adverbs,14,"u, uc, uch","u, uc, uch"
"λέγω, ἐρῶ, εἶπον, εἴρηκα, λέλεγμαι, ἐλέχθην and ἐρρήθην","say, speak (of), recount; pick up, collect, count",verb: irregular,Writing and Talking,15,"lego, ero, ipon, ireca, lelegmae, elechthen and errhethen","lego, ero, ipon, ireca, lelegmae, elechthen and errhethen"
ὡς,"as, since; (introducing purpose clause) so that (+subj./opt.); (introducing indir. statement) that",conjunction: subordinating,Conjunctions/Adverbs,16,hos,hus
τε,and; τε…τε both…and,conjunction: coordinating,Conjunctions/Adverbs,17,te,te
εἰς,"into, to, towards (+acc.)",preposition,Direction,18,is,is
ἐπί,"at (+gen.); on (+dat.); on to, against (+acc.)",preposition,Direction,19,epi,epi
κατά,"down, down (from or along), throughout, according to; κατὰ γῆν by land; κατὰ φύσιν in accordance with nature; κατ’ ἔθνη by nations; καθ᾿ἕνα one by one.",preposition,Direction,20,cata,cata
"ἐγώ ἐμοῦ, (pl.) ἡμεῖς, ἡμῶν","I, we",pronoun,Pronouns/Interrogatives,21,"ego emu, (pl.) hemis, hemon","ego emu, (pl.) hemis, hemum"
πρός,"from the side of, in the presence of (+gen.); near, at, in addition to (+dat.); to, towards, in relation to (+acc.)",preposition,Direction,22,pros,prus
"γίγνομαι, γενήσομαι, 2 aor. ἐγενόμην, γέγονα, γεγένημαι, ἐγενήθην","become; be born; happen, be",verb: deponent,Humanity and Being,23,"gignomae, genesomae, 2 aor. egenomen, gegona, gegenemae, egenethen","gignomae, genesomae, 2 aor. egenomen, gegona, gegenemae, egenethen"
ἐάν (εἰ-ἄν),if (+subj.),conjunction: subordinating,Conjunctions/Adverbs,24,ean (i-an),ean (i-an)
διά,"through, during, because of (+gen., acc.)",preposition,Prepositions without Direction,25,dia,dia
ἀλλά,but,conjunction: coordinating,Conjunctions/Adverbs,26,alla,alla
πᾶς πᾶσα πᾶν,"every, all; whole (with article)",noun: 3rd declension irregular,Measurements and Numerals,27,pas pasa pan,pas pasa pan
"ἔχω, ἕξω or σχήσω, 2 aor. ἔσχον, ἔσχηκα, impf. εἶχον","have, hold, keep",verb: irregular,Taking and Giving,28,"echo, hexo or scheso, 2 aor. eschon, escheca, impf. ichon","echo, hexo or scheso, 2 aor. eschon, escheca, impf. ichum"
"ἐκ, ἐξ","from, out of (+gen.)",preposition,Direction,29,"ec, ex","ec, ex"
πολύς πολλή πολύ,"much, many; ὡς ἐπὶ τὸ πολύ for the most part",noun: 3rd declension irregular,Measurements and Numerals,30,polys polle poly,polys polle poly
περί,"around, about; concerning (+gen.)",preposition,Direction,31,peri,peri
μή,"not (marks the negative as subjective or conditional); εἰ μή if not, except",conjunction: subordinating,Conjunctions/Adverbs,32,me,me
ὅστις ἥτις ὅ τι,"anyone who, anything which; (in indir. quest.) who, which, what",pronoun,Pronouns/Interrogatives,33,hostis hetis ho ti,hostis hetis ho ti
ἄν,"[marks verbs as potential (with optative), or generalizing (with subjunctive)]",adverb,Particles,34,an,an
"σύ, σοῦ, (pl.) ὑμεῖς, ὑμῶν",you,pronoun,Pronouns/Interrogatives,35,"sy, su, (pl.) hymis, hymon","sy, su, (pl.) hymis, hymum"
ἀνά,"up, on; throughout",preposition,Direction,36,ana,ana
ὅτι,"because, that; (with superl.) as...as possible",conjunction: subordinating,Conjunctions/Adverbs,37,hoti,hoti
εἰ,if (+indic. or opt.); εἴπερ if indeed,conjunction: subordinating,Conjunctions/Adverbs,38,i,i
ἄλλος ἄλλη ἄλλο,"other, another",adjective: 1st and 2nd declension,Pronouns/Interrogatives,39,allos alle allo,allus alle allo
ἀπό,from (+gen.),preposition,Direction,40,apo,apo
"φημί, φήσω, impf. ἔφην","say, assert, declare; οὐ φημί deny, refuse, say that...not",verb: -μι,Writing and Talking,41,"phemi, pheso, impf. ephen","phemi, pheso, impf. ephen"
ὑπό,"under (+gen., dat.); by (+gen. of personal agent); down under (+acc.)",preposition,Direction,42,hypo,hypo
"ποιέω, ποιήσω, ἐποίησα, πεποίηκα, πεποίημαι, ἐποιήθην","make, produce, cause, do; (mid.) consider, reckon",verb: contracted,Work and Leisure,43,"poeeo, poeeso, epoeesa, pepoeeca, pepoeemae, epoeethen","poeeo, poeeso, epoeesa, pepoeeca, pepoeemae, epoeethen"
οὖν,"therefore, accordingly; at any rate",adverb,Particles,44,un,un
"λόγος λόγου, ὁ","word, speech, discourse; thought, reason, account",noun: 2nd declension,Writing and Talking,45,"logos logu, ho","logus logu, ho"
παρά,"from (+gen.); beside (+dat.); to, to the side of, contrary to (+acc.)",preposition,Direction,46,para,para
οὕτως,in this way,adverb,Conjunctions/Adverbs,47,hutos,hutus
πρότερος προτέρα πρότερον,"before, earlier; τὸ πρότερον previously, before",adjective: 1st and 2nd declension,Time,48,proteros protera proteron,proterus protera proterum
"θεός θεοῦ, ὁ/ἡ","god, goddess",noun: 2nd declension,Religion,49,"theos theu, ho/e","theus theu, ho/e"
μετά,with (+gen.); after (+acc.),preposition,Prepositions without Direction,50,meta,meta
ἑαυτοῦ ἑαυτῆς ἑαυτοῦ,him- her- itself (reflexive pron.),pronoun,Pronouns/Interrogatives,51,heautu heautes heautu,heautu heautes heautu
μέγας μεγάλη μέγα,"big, great, powerful",adjective: 1st and 2nd declension,Measurements and Numerals,52,megas megale mega,megas megale mega
οὐδέ,"and not, but not, nor; οὐδέ...οὐδέ not even...nor yet",conjunction: coordinating,Conjunctions/Adverbs,53,ude,ude
ἐκεῖνος ἐκείνη ἐκεῖνο,that person or thing; ἐκεῖνος…οὗτος the former…the latter,pronoun,Pronouns/Interrogatives,54,ecinos ecine ecino,ecinus ecine ecino
τοιοῦτος τοιαύτη τοιοῦτο,"such, of such a sort",adjective: 1st and 2nd declension,Pronouns/Interrogatives,55,toeutos toeaute toeuto,toeutus toeaute toeuto
οὐδείς οὐδεμία οὐδέν,"no one, nothing",pronoun,Pronouns/Interrogatives,56,udis udemia uden,udis udemia uden
εἶπον,"I said, I spoke, 2 aor. → λέγω, φημί",verb: irregular,Writing and Talking,57,ipon,ipum
ἀγαθός ἀγαθή ἀγαθόν,"good, virtuous, brave, noble",adjective: 1st and 2nd declension,Ethics and Morals,58,agathos agathe agathon,agathus agathe agathum
γε,"(enclitic) indeed; at least, at any rate",adverb,Particles,59,ge,ge
δή,"surely, really, now, in fact, indeed (gives greater exactness)",adverb,Particles,60,de,de
"πόλις πόλεως, ἡ","city, city-state",noun: 3rd declension ι-stem,Government and Society,61,"polis poleos, he","polis poleos, he"
εἷς μία ἕν,one,adjective: numeral,Measurements and Numerals,62,his mia hen,his mia hen
"ἵημι, ἥσω, ἧκα, -εἷκα, εἷμαι, -εἵθην","put in motion, let go, shoot; (mid.) hasten, rush",verb: -μι,Work and Leisure,63,"hiemi, heso, heca, h-ica, himae, h-ithen","hiemi, heso, heca, h-ica, himae, h-ithen"
"δέω, δεήσω, ἐδέησα, δεδέηκα, δεδέημαι, ἐδεήθην","lack, miss, stand in need of (+gen.)",verb: contracted,Taking and Giving,64,"deo, deeso, edeesa, dedeeca, dedeemae, edeethen","deo, deeso, edeesa, dedeeca, dedeemae, edeethen"
"ἄνθρωπος –ου, ὁ/ἡ",human being,noun: 2nd declension,Humanity and Being,65,"anthropos u, ho/e","anthropus u, ho/e"
"ὁράω, ὄψομαι, 2 aor. εἶδον, ἑόρακα and ἑώρακα, ὤφθην, impf. ἑώρων","see, look (to)",verb: irregular,The Senses and Feelings,66,"horao, opsomae, 2 aor. idon, heoraca and heoraca, ophthen, impf. heoron","horao, opsomae, 2 aor. idon, heoraca and heoraca, ophthen, impf. heorum"
μόνος μόνη μόνον,"alone, single",adjective: 1st and 2nd declension,Measurements and Numerals,67,monos mone monon,monus mone monum
οὔτε...οὔτε,neither...nor,conjunction: coordinating,Conjunctions/Adverbs,68,ute...ute,ute...ute
οἷος οἵα οἷον,"such as, of what sort, like, (exclam.) what a!, how! ; οἷός τε (+infin.) fit or able to; οἷόν τε (+infin.) it is possible to",adjective: 1st and 2nd declension,Pronouns/Interrogatives,69,hoeos hoea hoeon,hoeus hoea hoeum
"λαμβάνω, λήψομαι, ἔλαβον, εἴληφα, εἴλημμαι, ἐλήφθην","take, grasp, seize; receive, get",verb: -ω labial stem,Taking and Giving,70,"lambano, lepsomae, elabon, ilepha, ilemmae, elephthen","lambano, lepsomae, elabon, ilepha, ilemmae, elephthen"
"δοκέω, δόξω, ἔδοξα","think, suppose, imagine (+acc. and infin.); seem, seem good; (impers.) δοκεῖ μοι it seems to me",verb: contracted,"The Mind, Perceiving and Learning",71,"doceo, doxo, edoxa","doceo, doxo, edoxa"
ἕτερος ἑτέρα ἕτερον,"the other (of two); other, another",adjective: 1st and 2nd declension,Pronouns/Interrogatives,72,heteros hetera heteron,heterus hetera heterum
κακός –ή –όν,"bad, wicked, cowardly",adjective: 1st and 2nd declension,Characteristics,73,cacos e on,cacus e on
"ἀνήρ ἀνδρός, ὁ","man, husband",noun: 3rd declension irregular,Humanity and Being,74,"aner andros, ho","aner andros, ho"
ἐπεί,"after, since, when",conjunction: subordinating,Time,75,epi,epi
ὅσος ὅση ὅσον,however much; as great as; (in pl.) as many as; ὅσον (adv.) as much as,adjective: 1st and 2nd declension,Pronouns/Interrogatives,76,hosos hose hoson,hosus hose hosum
"καλέω, καλῶ, ἐκάλεσα, κέκληκα, κέκλημαι, ἐκλήθην","call, summon",verb: contracted,Writing and Talking,77,"caleo, calo, ecalesa, cecleca, ceclemae, eclethen","caleo, calo, ecalesa, cecleca, ceclemae, eclethen"
"σῶμα σώματος, τό",body,noun: 3rd declension consonant stem,Body Parts,78,"soma somatos, to","soma somatos, to"
"δεῖ, δεήσει, impf. ἔδει","it is necessary, one must, one ought (+acc. and infin.)",verb: impersonal,Ethics and Morals,79,"di, deesi, impf. edi","di, deesi, impf. edi"
ὥσπερ,"just as, as if",conjunction: subordinating,Conjunctions/Adverbs,80,hosper,hosper
"δίδωμι, δώσω, ἔδωκα, δέδωκα, δέδομαι, ἐδόθην","give, grant, offer",verb: -μι,Taking and Giving,81,"didomi, doso, edoca, dedoca, dedomae, edothen","didomi, doso, edoca, dedoca, dedomae, edothen"
ἔτι,"still, yet",adverb,Time,82,eti,eti
"φύσις φύσεως, ἡ",nature; (of the mind) one’s nature or disposition; regular order of nature,noun: 3rd declension ι-stem,World Order,83,"physis physeos, he","physis physeos, he"
μικρός –ά –όν,"small, little, short",adjective: 1st and 2nd declension,Measurements and Numerals,84,micros a on,micrus a on
"δύναμαι, δυνήσομαι, ἐδυνήθην, δεδύνημαι","(+infin.) to be able (to), be strong enough (to)",verb: deponent,Work and Leisure,85,"dynamae, dynesomae, edynethen, dedynemae","dynamae, dynesomae, edynethen, dedynemae"
ὥστε,"(introducing natural or actual result clause) so as, so that, (with the result) that",conjunction: subordinating,Conjunctions/Adverbs,86,hoste,hoste
"ἀρχή ἀρχῆς, ἡ","beginning, origin; rule, empire, realm; magistracy",noun: 1st declension,Time,87,"arche arches, he","arche arches, he"
ἕκαστος ἑκάστη ἕκαστον,each (of several),pronoun,Pronouns/Interrogatives,88,hecastos hecaste hecaston,hecastus hecaste hecastum
"ἡμέρα ἡμέρας, ἡ",day,noun: 1st declension,World Order,89,"hemera hemeras, he","hemera hemeras, he"
"φύω, φύσω, ἔφυσα","bring forth, produce, beget; 2 aor. ἔφυν grew, pf. πέφυκα be by nature",verb: -ω vowel stem,World Order,90,"phyo, physo, ephysa","phyo, physo, ephysa"
ἅπας ἅπασα ἅπαν,all together,noun: 3rd declension irregular,Measurements and Numerals,91,hapas hapasa hapan,hapas hapasa hapan
ὅμοιος ὁμοία ὅμοιον,"like, resembling (+dat.)",adjective: 1st and 2nd declension,Characteristics,92,homoeos homoea homoeon,homoeus homoea homoeum
"νῦν, νυνί",now,adverb,Time,93,"nyn, nyni","nyn, nyni"
"γῆ γῆς, ἡ",earth,noun: 1st declension,Earth,94,"ge ges, he","ge ges, he"
"δύναμις δυνάμεως, ἡ","power, strength, ability",noun: 3rd declension ι-stem,War and Peace,95,"dynamis dynameos, he","dynamis dynameos, he"
καλός –ή –όν,"beautiful, noble, honorable",adjective: 1st and 2nd declension,Characteristics,96,calos e on,calus e on
"κύριος κυρίου, ὁ","lord, master",noun: 2nd declension,Government and Society,97,"cyrios cyriu, ho","cyrius cyriu, ho"
μᾶλλον,"more, rather; μᾶλλον...ἤ rather than",adverb,Conjunctions/Adverbs,98,mallon,mallum
ὅδε ἥδε τόδε,this,pronoun,Pronouns/Interrogatives,99,hode hede tode,hode hede tode
ὅλος ὅλη ὅλον,"whole, entire, complete",adjective: 1st and 2nd declension,Measurements and Numerals,100,holos hole holon,holus hole holum
"μέρος μέρους, τό","part, share",noun: 3rd declension σ-stem,Measurements and Numerals,101,"meros merus, to","merus merus, to"
ἄρα,"therefore, then (drawing an inference)",adverb,Particles,102,ara,ara
ἐμός ἐμή ἐμόν,"my, mine",adjective: 1st and 2nd declension,Pronouns/Interrogatives,103,emos eme emon,emus eme emum
"χράομαι, χρήσομαι, ἐχρησάμην, κέχρημαι, ἐχρήσθην","use, experience, suffer (+dat.); treat someone in a certain way (+dat. and adv.)",verb: deponent,Government and Society,104,"chraomae, chresomae, echresamen, cechremae, echresthen","chraomae, chresomae, echresamen, cechremae, echresthen"
δύο,two,adjective: numeral,Measurements and Numerals,105,dyo,dyo
"χρόνος χρόνου, ὁ",time,noun: 2nd declension,Time,106,"chronos chronu, ho","chronus chronu, ho"
ἴσος ἴση ἴσον,"equal, the same as (+dat.)",adjective: 1st and 2nd declension,Measurements and Numerals,107,isos ise ison,isus ise isum
ὅταν (ὅτε-ἄν),whenever (+subj.),conjunction: subordinating,Conjunctions/Adverbs,108,hotan h(ote-an),hotan h(ote-an)
μόνον,only,adverb,Conjunctions/Adverbs,109,monon,monum
"οἶδα, infin. εἰδέναι, imper. ἴσθι, plupf. used as impf. ᾔδειν",to know (pf. in pres. sense); to know how to (+infin.),verb: irregular,"The Mind, Perceiving and Learning",110,"oeda, infin. idenae, imper. isthi, plupf. used as impf. edin","oeda, infin. idenae, imper. isthi, plupf. used as impf. edin"
"βασιλεύς βασιλέως, ὁ",king,"noun: 3rd declension -εύς, -έως",Government and Society,111,"basileus basileos, ho","basileus basileos, ho"
ὦ,oh! (unemphatic when with the vocative),interjection,Particles,112,o,o
"βούλομαι, βουλήσομαι, βεβούλημαι, ἐβουλήθην","(+infin.) will, wish (to); be willing (to); ὁ βουλόμενος anyone who likes",verb: deponent,The Senses and Feelings,113,"bulomae, bulesomae, bebulemae, ebulethen","bulomae, bulesomae, bebulemae, ebulethen"
"φαίνω, φανῶ, ἔφηνα, πέφηνα, πέφασμαι, ἐφάνην","bring to light, make appear, make clear; (pass.) come to light, be seen, appear, appear to be (+ptc. or infin.)",verb: -ω liquid stem,Showing and Finding,114,"phaeno, phano, ephena, pephena, pephasmae, ephanen","phaeno, phano, ephena, pephena, pephasmae, ephanen"
"γράφω, γράψω, ἔγραψα, γέγραφα, γέγραμμαι, ἐγράφην",write,verb: -ω labial stem,Writing and Talking,115,"grapho, grapso, egrapsa, gegrapha, gegrammae, egraphen","grapho, grapso, egrapsa, gegrapha, gegrammae, egraphen"
"φέρω, οἴσω, 1 aor. ἤνεγκα, 2 aor. ἤνεγκον, ἐνήνοχα, ἐνήνεγμαι, ἠνέχθην","carry, bring, fetch; carry off or away; φέρε come now, well",verb: irregular,Work and Leisure,116,"phero, oeso, 1 aor. enenca, 2 aor. enencon, enenocha, enenegmae, enechthen","phero, oeso, 1 aor. enenca, 2 aor. enencon, enenocha, enenegmae, enechthen"
"ψυχή ψυχῆς, ἡ","breath, life, soul",noun: 1st declension,Humanity and Being,117,"psyche psyches, he","psyche psyches, he"
μηδείς μηδεμία μηδέν,"no one, nothing",pronoun,Pronouns/Interrogatives,118,medis medemia meden,medis medemia meden
αἴτιος αἰτία αἴτιον,"responsible, guilty",adjective: 1st and 2nd declension,Law and Judgment,119,aetios aetia aetion,aetius aetia aetium
πάλιν,"back, backwards; again",adverb,Direction,120,palin,palin
μάλιστα,"most, most of all; (in replies) certainly",adverb,Conjunctions/Adverbs,121,malista,malista
"ὑπάρχω, ὑπάρξω, ὑπῆρξα, ὑπῆργμαι, ὑπήρχθην","exist, be, belong to; τὰ ὑπάρχοντα existing circumstances",verb: -ω palatal stem,Humanity and Being,122,"hyparcho, hyparxo, hyperxa, hypergmae, hyperchthen","hyparcho, hyparxo, hyperxa, hypergmae, hyperchthen"
"ἄρχω, ἄρξω, ἦρξα, ἦργμαι, ἤρχθην","begin (+gen.); lead, rule, govern (+gen.)",verb: -ω palatal stem,Time,123,"archo, arxo, erxa, ergmae, erchthen","archo, arxo, erxa, ergmae, erchthen"
"γυνή γυναικός, ἡ","woman, wife",noun: 3rd declension irregular,Humanity and Being,124,"gyne gynaecos, he","gyne gynaecos, he"
ποτε (enclitic),"at some time, ever, in the world",adverb,Time,125,pote (enclitic),pote (enclitic)
ἵνα,in order that (conj. +subj. or opt.); where (rel. adv. +indic.),conjunction: subordinating,Conjunctions/Adverbs,126,hina,hina
"ὄνομα ὀνόματος, τό",name; fame,noun: 3rd declension consonant stem,Writing and Talking,127,"onoma onomatos, to","onoma onomatos, to"
ὑπέρ,"for (+gen), beyond (+acc.)",preposition,Prepositions without Direction,128,hyper,hyper
ἤδη,"already, now (of the immediate past); presently (of the immediate future)",adverb,Time,129,ede,ede
"πατήρ πατρός, ὁ",father,noun: 3rd declension irregular,Family and Friendship and the Home,130,"pater patros, ho","pater patros, ho"
"ἀκούω, ἀκούσομαι, ἤκουσα, ἀκήκοα, plup. ἠκηκόη or ἀκηκόη, ἠκούσθην","listen (to), hear (of)",verb: -ω vowel stem,The Senses and Feelings,131,"acuo, acusomae, ecusa, acecoa, plup. ececoe or acecoe, ecusthen","acuo, acusomae, ecusa, acecoa, plup. ececoe or acecoe, ecusthen"
"γένος γένους, τό","race, family; kind, class",noun: 3rd declension σ-stem,Family and Friendship and the Home,132,"genos genus, to","genus genus, to"
"τόπος τόπου, ὁ",place; topic,noun: 2nd declension,Earth,133,"topos topu, ho","topus topu, ho"
"πράσσω, πράξω, ἔπραξα, πέπραχα, πέπραγμαι, ἐπράχθην","do, achieve, accomplish; do or fare in a certain way (+adv.)",verb: -ω dental stem,Work and Leisure,134,"prasso, praxo, epraxa, pepracha, pepragmae, eprachthen","prasso, praxo, epraxa, pepracha, pepragmae, eprachthen"
πρῶτος πρώτη πρῶτον,"first, foremost, earliest; (adv.) τὸ πρῶτον in the first place",adjective: 1st and 2nd declension,Measurements and Numerals,135,protos prote proton,protus prote protum
"εὑρίσκω, εὑρήσω, 2 aor. ηὗρον or εὗρον, ηὕρηκα or εὕρηκα, εὕρημαι, εὑρέθην","find (out), discover, devise",verb: -ω palatal stem,Showing and Finding,136,"heurisco, heureso, 2 aor. heuron or heuron, heureca or heureca, heuremae, heurethen","heurisco, heureso, 2 aor. heurum or heuron, heureca or heureca, heuremae, heurethen"
"παῖς παιδός, ὁ/ἡ","son, daughter, child; slave",noun: 3rd declension consonant stem,Family and Friendship and the Home,137,"paes paedos, ho/e","paes paedos, ho/e"
"ἔρχομαι, fut. εἶμι or ἐλεύσομαι, 2 aor. ἦλθον, ἐλήλυθα","come, go",verb: deponent,Movement,138,"erchomae, fut. imi or eleusomae, 2 aor. elthon, elelytha","erchomae, fut. imi or eleusomae, 2 aor. elthon, elelytha"
"υἱός υἱοῦ, ὁ",son,noun: 2nd declension,Family and Friendship and the Home,139,"hyios hyiu, ho","hyius hyiu, ho"
"ὕδωρ ὕδατος, τό",water,noun: 3rd declension consonant stem,World Order,140,"hydor hydatos, to","hydor hydatos, to"
ἴδιος ἰδία ἴδιον,"one’s own; peculiar, separate, distinct",adjective: 1st and 2nd declension,Pronouns/Interrogatives,141,idios idia idion,idius idia idium
σός σή σόν,"your, yours (sg.; ὑμέτερος = pl.)",adjective: 1st and 2nd declension,Pronouns/Interrogatives,142,sos se son,sus se sum
"γιγνώσκω, γνώσομαι, ἔγνων, ἔγνωκα, ἔγνωσμαι, ἐγνώσθην","come to know, learn; judge, think, or determine that (+acc. and infin.)",verb: irregular,"The Mind, Perceiving and Learning",143,"gignosco, gnosomae, egnon, egnoca, egnosmae, egnosthen","gignosco, gnosomae, egnon, egnoca, egnosmae, egnosthen"
"τυγχάνω, τεύξομαι, ἔτυχον, τετύχηκα, τέτυγμαι, ἐτύχθην","hit, light upon, meet by chance (+gen.); reach, gain, obtain; happen to be (+ptc.)",verb: -ω palatal stem,Humanity and Being,144,"tynchano, teuxomae, etychon, tetycheca, tetygmae, etychthen","tynchano, teuxomae, etychon, tetycheca, tetygmae, etychthen"
"ἵστημι στήσω will set, ἔστησα set, caused to stand, 2 aor. ἔστην stood, ἕστηκα stand, plup. εἱστήκη stood, ἐστάθην stood","make to stand, set",verb: -μι,Work and Leisure,145,"histemi steso will set, estesa set, caused to stand, 2 aor. esten stood, hesteca stand, plup. histece stood, estathen stood","histemi steso will set, estesa set, caused to stand, 2 aor. esten stood, hesteca stand, plup. histece stood, estathen stood"
ἅμα,at the same time; (prep.) together with (+dat.),adverb,Time,146,hama,hama
"ἄγω, ἄξω, ἤγαγον, ἦχα, ἦγμαι, ἤχθην","lead, carry, bring; pass (time)",verb: -ω palatal stem,Movement,147,"ago, axo, egagon, echa, egmae, echthen","ago, axo, egagon, echa, egmae, echthen"
"τρόπος τρόπου, ὁ","way, manner, fashion; way of life, habit, custom",noun: 2nd declension,Characteristics,148,"tropos tropu, ho","tropus tropu, ho"
μήτε...μήτε,neither...nor,conjunction: coordinating,Conjunctions/Adverbs,149,mete...mete,mete...mete
μέσος μέση μέσον,"middle, in the middle, moderate; τὸ μέσον midst",adjective: 1st and 2nd declension,Measurements and Numerals,150,mesos mese meson,mesus mese mesum
