reinterpret,classifier,vectorizer,score,time
abbrev,ExtraTreesClassifier,CountVectorizer,0.926967619948,1.9273061752319336
abbrev,ExtraTreesClassifier,TfidfVectorizer,0.933821791539,1.7702608108520508
abbrev,GradientBoostingClassifier,CountVectorizer,0.922476955802,9.466230630874634
abbrev,GradientBoostingClassifier,TfidfVectorizer,0.926967619948,15.168840646743774
abbrev,DecisionTreeClassifier,CountVectorizer,0.906641455921,3.1721901893615723
abbrev,DecisionTreeClassifier,TfidfVectorizer,0.913022926022,4.105000972747803
abbrev,CalibratedClassifierCV,CountVectorizer,0.928385724415,1.272080898284912
abbrev,CalibratedClassifierCV,TfidfVectorizer,0.945166627275,0.6316592693328857
abbrev,DummyClassifier,CountVectorizer,0.729142046797,0.3830270767211914
abbrev,DummyClassifier,TfidfVectorizer,0.718978964784,0.38846683502197266
abbrev,PassiveAggressiveClassifier,CountVectorizer,0.937130701962,0.4058265686035156
abbrev,PassiveAggressiveClassifier,TfidfVectorizer,0.939730560151,0.40679001808166504
abbrev,RidgeClassifier,CountVectorizer,0.91656818719,6.025074481964111
abbrev,RidgeClassifier,TfidfVectorizer,0.941621366107,0.6683042049407959
abbrev,SGDClassifier,CountVectorizer,0.94020326164,0.40535759925842285
abbrev,SGDClassifier,TfidfVectorizer,0.943039470574,0.3980710506439209
abbrev,OneVsRestClassifier,CountVectorizer,0.931694634838,7.731151342391968
abbrev,OneVsRestClassifier,TfidfVectorizer,0.944693925786,9.454118013381958
abbrev,OneVsRestClassifier,CountVectorizer,0.937367052706,0.9143116474151611
abbrev,OneVsRestClassifier,TfidfVectorizer,0.919877097613,0.5431041717529297
abbrev,KNeighborsClassifier,CountVectorizer,0.895769321673,1.28070068359375
abbrev,KNeighborsClassifier,TfidfVectorizer,0.874734105412,1.2990639209747314
